Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000139842];ENSG00000139842;ENSG00000139842;ENSG00000139842;"Cluster;Outlier";[CUL4A, 8451, RP11-391H12.1];[114029];CUL4A;8451;ENSP00000364589;ENSP00000364589
[ENSG00000163743];ENSG00000163743;;ENSG00000163743;Outlier;[ZNF363, PRO1996, ZCHY, CHIMP, PIRH2, RCHY1, 25898, ARNIP, RNF199];[117406];RCHY1;25898;ENSP00000321239;"25898;ENSP00000321239"
[ENSG00000145604];ENSG00000145604;;ENSG00000145604;"Cluster;Outlier";[p45, FBL1, FLB1, 6502, FBXL1, SKP2];[112393];SKP2;6502;ENSP00000274255;ENSP00000274255
[ENSG00000121022];ENSG00000121022;ENSG00000121022;ENSG00000121022;"Cluster;Outlier";[10987, COPS5, JAB1, CSN5, MOV-34, SGN5];[116183];COPS5;10987;ENSP00000350512;ENSP00000350512
[ENSG00000111640];ENSG00000111640;;ENSG00000111640;Outlier;[G3PD, 2597, CDABP0047, GAPDH, HEL-S-162eP, GAPD];[108868];G3PD;2597;2597;"2597;ENSP00000229239"
[ENSG00000112062];ENSG00000112062;;ENSG00000112062;Outlier;[CSBP, p38ALPHA, CSBP2, PRKM15, SAPK2A, CSBP1, RP1-179N16.5, MAPK14, PRKM14, Mxi2, p38, 1432, CSPB1, RK, EXIP];[107819];MAPK14;1432;ENSP00000229794;"1432;ENSP00000229794"
[ENSG00000112118];ENSG00000112118;;ENSG00000112118;Outlier;[4172, RLFB, RP1-108C2.3, P1-MCM3, MCM3, HCC5, P1.h];[110340];MCM3;4172;ENSP00000229854;"4172;ENSP00000229854"
[ENSG00000178568];ENSG00000178568;ENSG00000178568;ENSG00000178568;"Cluster;Outlier";[ERBB4, ALS19, 2066, p180erbB4, HER4];[108378];ERBB4;2066;2066;2066
[ENSG00000113140];ENSG00000113140;ENSG00000113140;ENSG00000113140;Outlier;[SPARC, 6678, ON];[112560];SPARC;6678;6678;"6678;ENSP00000231061"
[ENSG00000112715];ENSG00000112715;;ENSG00000112715;Outlier;[MVCD1, 7422, RP1-261G23.1, VEGF, VPF, VEGFA];[113265];MVCD1;7422;7422;"7422;ENSP00000361125"
[ENSG00000071051];ENSG00000071051;ENSG00000071051;ENSG00000071051;Outlier;[8440, NCK2, GRB4, NCKbeta];[114020];NCK2;8440;8440;"8440;ENSP00000233154"
[ENSG00000115942];ENSG00000115942;;ENSG00000115942;Outlier;[ORC2L, ORC2, 4999];[111041];ORC2;4999;ENSP00000234296;"4999;ENSP00000234296"
[ENSG00000097046];ENSG00000097046;;ENSG00000097046;Outlier;[HsCDC7, Hsk1, CDC7L1, CDC7, huCDC7, 8317];[113914];HsCDC7;8317;8317;"8317;ENSP00000234626"
[ENSG00000118816];ENSG00000118816;;ENSG00000118816;Outlier;[CYI, CCNI, CCNI1, CYC1, 10983];[116179];CYI;10983;10983;"10983;ENSP00000237654"
[ENSG00000170365];ENSG00000170365;ENSG00000170365;ENSG00000170365;"Cluster;Outlier";[SMAD1, 4086, MADH1, MADR1, JV4-1, BSP-1, JV41, BSP1];[110261];SMAD1;4086;ENSP00000305769;ENSP00000305769
[ENSG00000113658];ENSG00000113658;;ENSG00000113658;"Cluster;Outlier";[DWFC, MADH5, JV5-1, 4090, SMAD5];[110265];SMAD5;4090;ENSP00000441954;ENSP00000441954
[ENSG00000175387];ENSG00000175387;ENSG00000175387;ENSG00000175387;Outlier;[SMAD2, hSMAD2, JV18, MADH2, 4087, MADR2, JV18-1, hMAD-2];[110262];SMAD2;4087;4087;"4087;ENSP00000262160"
