Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000134352;;Outlier;ENSG00000134352;ENSG00000134352;;CD130|CDW130|GP130|3572|IL-6RB|IL6ST;CD130;IL6ST;109786;3572
ENSG00000042753;;Outlier;ENSG00000042753;ENSG00000042753;;FBHOk|HHC3|CLAPS2|FBH3|AP2S1|1175|AP17;FBHOk;AP2S1;107589;1175
ENSG00000129219;;Outlier;ENSG00000129219;ENSG00000129219;ENSG00000129219;5338|PLD2;PLD2;PLD2;111354;5338
ENSG00000109458;;Outlier;ENSG00000109458;ENSG00000109458;ENSG00000109458;GAB1|2549;GAB1;GAB1;108824;2549
ENSG00000117461;;Outlier;ENSG00000117461;ENSG00000117461;;p55-GAMMA|p55|PIK3R3|8503|RP4-533D7.2;p55-GAMMA;PIK3R3;114075;8503
ENSG00000113721;;"Cluster;Overlap";ENSG00000113721;ENSG00000113721;ENSG00000113721;PDGFRB|PDGFR1|PDGFR-1|5159|JTK12|PDGFR|IBGC4|IMF1|CD140B;PDGFRB;PDGFRB;111185;5159
ENSG00000138095;;Outlier;ENSG00000138095;ENSG00000138095;;10128|CLONE-23970|LSFC|GP130|LRP130|LRPPRC;CLONE-23970;LRPPRC;115432;10128
ENSG00000137801;;"Cluster;Outlier";ENSG00000137801;ENSG00000137801;;TSP|7057|THBS|TSP-1|THBS-1|TSP1|THBS1;TSP;THBS1;112915;7057
ENSG00000136573;;Outlier;ENSG00000136573;ENSG00000136573;ENSG00000136573;BLK|640|MODY11;BLK;BLK;107109;640
ENSG00000136504;;"Cluster;Outlier";ENSG00000136504;ENSG00000136504;;MYST2|11143|KAT7|HBO1|HBOA|ZC2HC7;MYST2;KAT7;116315;11143
ENSG00000145431;;"Cluster;Outlier";ENSG00000145431;ENSG00000145431;;UNQ174/PRO200|SCDGF|56034|PDGFC|FALLOTEIN;UNQ174/PRO200;PDGFC;121032;56034
